Trial_625_x,Trial_625_y,Trial_625_x.1,Trial_625_y.1,Trial_850_x,Trial_850_y,Trial_1371_x,Trial_1371_y,Trial_1482_x,Trial_1482_y,Trial_1605_x,Trial_1605_y,Trial_2161_x,Trial_2161_y,Trial_1178_x,Trial_1178_y,Trial_1217_x,Trial_1217_y,Trial_1664_x,Trial_1664_y,Trial_733_x,Trial_733_y,Trial_1215_x,Trial_1215_y,Trial_1399_x,Trial_1399_y
0.733333333,1863.321429,0.733333333,1863.321429,0.466666667,1717.263158,0.6,558.9642857,0.5,548.25,13.76666667,1332.25,0.4,973.9318182,1.3,119.3958333,0.533333333,387.76,1.2,313.3235294,0.366666667,1588,1.333333333,717.6,1.2,1061.035714
1.5,1610.678571,1.5,1610.678571,1.3,1882.736842,1.433333333,540.0357143,1.333333333,532.75,12.9,1297.75,1.233333333,908.0681818,0.466666667,119.6041667,1.4,389.24,0.366666667,302.6764706,1.233333333,1530,0.466666667,703.4,0.366666667,993.9642857
2.4,1855.321429,2.4,1855.321429,2.2,1677.263158,2.266666667,555.9642857,2.166666667,543.25,15.43333333,1313.25,2.066666667,963.9318182,2.933333333,118.3958333,2.233333333,386.76,2.833333333,311.3235294,2.033333333,1516,3,709.6,2.9,1057.035714
1.566666667,1661.678571,1.566666667,1661.678571,2.966666667,1758.736842,3.1,540.0357143,3,530.75,14.6,1300.75,2.9,887.0681818,2.133333333,117.6041667,3.066666667,382.24,2,297.6764706,2.8,1261,2.166666667,699.4,2.033333333,975.9642857
4.066666667,1768.321429,4.066666667,1768.321429,3.9,1716.263158,3.933333333,546.9642857,3.833333333,545.25,17.1,1288.25,3.766666667,964.9318182,4.6,118.3958333,3.9,396.76,4.5,309.3235294,3.8,1548,4.666666667,713.6,4.566666667,1040.035714
3.266666667,1663.678571,3.266666667,1663.678571,3.033333333,1847.736842,4.766666667,540.0357143,4.666666667,529.75,16.3,1293.75,4.566666667,886.0681818,3.766666667,116.6041667,4.733333333,386.24,3.666666667,300.6764706,2.933333333,1532,3.833333333,700.4,3.733333333,974.9642857
5.8,1800.321429,5.8,1800.321429,5.6,1709.263158,5.6,542.9642857,5.466666667,532.25,18.83333333,1294.25,5.433333333,958.9318182,6.266666667,117.3958333,5.566666667,399.76,6.166666667,308.3235294,5.466666667,1527,6.333333333,709.6,6.266666667,1028.035714
5,1641.678571,5,1641.678571,4.766666667,1783.736842,6.433333333,538.0357143,6.3,523.75,17.96666667,1286.75,6.233333333,884.0681818,5.433333333,116.6041667,6.4,381.24,5.333333333,296.6764706,4.633333333,1521,5.5,695.4,5.4,977.9642857
7.533333333,1775.321429,7.533333333,1775.321429,7.333333333,1717.263158,7.266666667,540.9642857,7.133333333,533.25,20.5,1276.25,7.1,953.9318182,7.933333333,117.3958333,7.2,383.76,7.833333333,307.3235294,5.633333333,1219,8,704.6,7.9,1021.035714
6.7,1669.678571,6.7,1669.678571,6.433333333,1778.736842,8.1,536.0357143,8,524.75,19.63333333,1278.75,7.933333333,885.0681818,7.1,116.6041667,8.033333333,379.24,7,295.6764706,6.333333333,1526,7.166666667,694.4,7.1,985.9642857
7.633333333,1629.321429,7.633333333,1629.321429,8.9,1482.263158,8.9,537.9642857,8.833333333,533.25,22.16666667,1257.25,8.766666667,949.9318182,9.566666667,115.3958333,8.866666667,378.76,9.466666667,304.3235294,7.166666667,1484,9.666666667,705.6,9.6,1019.035714
8.4,1671.678571,8.4,1671.678571,8.133333333,1725.736842,9.766666667,533.0357143,9.666666667,526.75,21.36666667,1289.75,9.633333333,888.0681818,8.733333333,114.6041667,9.7,381.24,8.666666667,298.6764706,8.033333333,1530,8.833333333,689.4,8.733333333,966.9642857
9.233333333,1738.321429,9.233333333,1738.321429,9.033333333,1704.263158,10.56666667,531.9642857,10.46666667,528.25,22.2,1250.25,10.46666667,933.9318182,11.23333333,115.3958333,10.53333333,376.76,11.13333333,303.3235294,8.866666667,1467,11.33333333,700.6,11.26666667,1011.035714
10.1,1670.678571,10.1,1670.678571,9.866666667,1706.736842,11.43333333,534.0357143,11.33333333,530.75,23.03333333,1283.75,11.3,878.0681818,10.4,114.6041667,11.36666667,381.24,10.3,294.6764706,9.733333333,1521,10.5,684.4,10.43333333,973.9642857
10.93333333,1708.321429,10.93333333,1708.321429,10.76666667,1668.263158,12.23333333,527.9642857,12.13333333,525.25,23.9,1263.25,12.13333333,939.9318182,12.9,114.3958333,12.16666667,375.76,12.76666667,300.3235294,10.56666667,1447,13,697.6,11.66666667,1096.035714
11.8,1660.678571,11.8,1660.678571,11.56666667,1674.736842,13.06666667,531.0357143,12.96666667,519.75,24.73333333,1282.75,12.96666667,876.0681818,12.06666667,113.6041667,13.03333333,378.24,11.96666667,291.6764706,9.833333333,1369,12.16666667,683.4,12.13333333,975.9642857
12.63333333,1675.321429,12.63333333,1675.321429,12.43333333,1702.263158,13.9,525.9642857,13.8,523.25,25.56666667,1230.25,13.8,927.9318182,14.53333333,113.3958333,13.83333333,375.76,14.43333333,300.3235294,12.26666667,1428,14.66666667,694.6,14.63333333,988.0357143
13.5,1673.678571,13.5,1673.678571,13.33333333,1615.736842,14.73333333,529.0357143,14.63333333,511.75,26.43333333,1280.75,14.63333333,862.0681818,13.73333333,117.6041667,14.66666667,376.24,13.63333333,291.6764706,11.43333333,1530,13.83333333,679.4,13.8,966.9642857
14.33333333,1649.321429,14.33333333,1649.321429,14.16666667,1671.263158,15.56666667,522.9642857,15.46666667,521.25,27.23333333,1215.25,15.46666667,923.9318182,16.2,113.3958333,15.5,372.76,16.1,299.3235294,13.96666667,1408,16.33333333,691.6,16.3,982.0357143
15.16666667,1593.678571,15.16666667,1593.678571,13.4,1460.736842,16.4,526.0357143,16.3,513.75,28.1,1270.75,16.3,859.0681818,15.36666667,112.6041667,16.33333333,375.24,15.3,291.6764706,13.13333333,1532,15.5,675.4,15.46666667,955.9642857
16.06666667,1628.321429,16.06666667,1628.321429,15.86666667,1668.263158,17.2,516.9642857,17.13333333,518.25,28.93333333,1204.25,17.13333333,917.9318182,17.86666667,112.3958333,17.16666667,371.76,17.76666667,299.3235294,14.03333333,1358,18.03333333,682.6,17.96666667,972.0357143
15.3,1324.678571,15.3,1324.678571,14.96666667,1645.736842,18.06666667,526.0357143,17.96666667,511.75,29.8,1264.75,17.96666667,852.0681818,17.03333333,111.6041667,18,374.24,16.93333333,287.6764706,14.83333333,1530,17.13333333,663.4,17.13333333,953.9642857
17.76666667,1587.321429,17.76666667,1587.321429,17.53333333,1697.263158,18.86666667,512.9642857,18.8,515.25,30.63333333,1192.25,18.8,909.9318182,19.53333333,111.3958333,18.83333333,367.76,19.43333333,296.3235294,15.66666667,1380,19.66666667,685.6,19.63333333,961.0357143
16.93333333,1683.678571,16.93333333,1683.678571,16.66666667,1601.736842,19.73333333,525.0357143,19.63333333,509.75,31.46666667,1265.75,19.66666667,852.0681818,18.66666667,110.6041667,19.66666667,371.24,18.6,286.6764706,16.53333333,1543,18.83333333,667.4,18.83333333,963.9642857
19.43333333,1553.321429,19.43333333,1553.321429,19.23333333,1677.263158,20.56666667,507.9642857,20.43333333,507.25,32.3,1172.25,20.46666667,901.9318182,21.16666667,110.3958333,20.5,368.76,21.06666667,294.3235294,17.36666667,1357,21.33333333,681.6,21.33333333,958.0357143
18.63333333,1692.678571,18.63333333,1692.678571,18.4,1599.736842,21.4,516.0357143,21.3,508.75,33.16666667,1261.75,21.33333333,850.0681818,20.33333333,109.6041667,21.33333333,372.24,20.23333333,284.6764706,18.2,1532,20.53333333,658.4,20.53333333,953.9642857
20.86666667,677.3214286,20.86666667,677.3214286,19.36666667,1379.263158,22.2,508.9642857,22.1,508.25,34,1162.25,22.16666667,899.9318182,22.83333333,109.3958333,22.13333333,361.76,22.73333333,293.3235294,19.06666667,1331,23,676.6,23,950.0357143
20.33333333,1690.678571,20.33333333,1690.678571,20.1,1585.736842,23.03333333,515.0357143,22.93333333,505.75,34.83333333,1256.75,23,849.0681818,22,109.6041667,22.96666667,370.24,21.93333333,283.6764706,18.26666667,1507,22.16666667,658.4,22.16666667,947.9642857
,,,,20.96666667,1640.263158,23.86666667,505.9642857,23.8,505.25,35.7,1151.25,23.83333333,885.9318182,24.5,109.3958333,23.8,360.76,24.4,292.3235294,20.76666667,1313,24.66666667,668.6,24.66666667,941.0357143
,,,,21.76666667,1563.736842,24.7,515.0357143,24.6,505.75,34.86666667,1274.75,24.66666667,852.0681818,23.66666667,108.6041667,24.63333333,365.24,23.56666667,283.6764706,19.9,1556,23.83333333,657.4,23.86666667,947.9642857
,,,,22.7,1596.263158,25.5,496.9642857,25.43333333,498.25,37.36666667,1129.25,25.5,888.9318182,26.13333333,107.3958333,25.46666667,358.76,26.06666667,291.3235294,22.4,1250,26.33333333,673.6,26.36666667,935.0357143
,,,,23.5,1563.736842,26.36666667,515.0357143,26.26666667,502.75,36.53333333,1254.75,26.36666667,848.0681818,25.33333333,108.6041667,26.3,365.24,25.23333333,282.6764706,21.6,1557,25.5,652.4,25.53333333,945.9642857
,,,,24.36666667,1642.263158,27.2,495.9642857,27.1,496.25,39.06666667,1118.25,27.2,880.9318182,27.8,107.3958333,27.13333333,357.76,27.73333333,290.3235294,22.43333333,1277,28,668.6,26.4,930.0357143
,,,,25.16666667,1533.736842,28.03333333,515.0357143,27.93333333,502.75,38.2,1261.75,28.03333333,843.0681818,26.96666667,107.6041667,27.96666667,364.24,26.9,283.6764706,23.3,1556,27.16666667,652.4,27.2,943.9642857
,,,,26.1,1579.263158,28.86666667,495.9642857,28.76666667,499.25,40.73333333,1106.25,28.86666667,878.9318182,29.46666667,107.3958333,28.76666667,355.76,29.36666667,286.3235294,24.13333333,1260,29.66666667,665.6,28.06666667,917.0357143
,,,,25.3,1428.736842,29.7,513.0357143,29.6,499.75,39.93333333,1262.75,29.7,842.0681818,28.63333333,106.6041667,29.63333333,384.24,28.56666667,283.6764706,,,28.83333333,644.4,28.86666667,941.9642857
,,,,27.73333333,1646.263158,30.53333333,493.9642857,30.43333333,496.25,42.43333333,1090.25,30.53333333,862.9318182,31.13333333,106.3958333,30.43333333,355.76,31.03333333,286.3235294,,,31.33333333,661.6,29.73333333,923.0357143
,,,,26.9,1533.736842,31.36666667,508.0357143,31.26666667,497.75,41.6,1271.75,31.36666667,835.0681818,30.26666667,105.6041667,31.26666667,363.24,30.2,278.6764706,,,30.5,645.4,30.53333333,937.9642857
,,,,,,32.2,487.9642857,32.06666667,490.25,44.13333333,1075.25,32.2,857.9318182,32.76666667,105.3958333,32.1,350.76,32.7,286.3235294,,,33,659.6,31.4,907.0357143
,,,,,,33.03333333,504.0357143,32.93333333,497.75,43.3,1252.75,33.03333333,833.0681818,31.93333333,105.6041667,32.93333333,361.24,31.86666667,278.6764706,,,32.16666667,642.4,32.23333333,939.9642857
,,,,,,33.83333333,479.9642857,33.73333333,489.25,45.76666667,1062.25,33.9,844.9318182,34.43333333,104.3958333,33.76666667,349.76,34.36666667,282.3235294,,,34.66666667,649.6,33.06666667,897.0357143
,,,,,,34.7,509.0357143,34.6,501.75,44.96666667,1263.75,33.06666667,827.0681818,33.6,104.6041667,34.6,360.24,33.53333333,276.6764706,,,33.83333333,639.4,33.93333333,934.9642857
,,,,,,35.5,474.9642857,35.4,483.25,47.46666667,1049.25,35.53333333,836.9318182,36.06666667,103.3958333,35.4,348.76,36,282.3235294,,,36.33333333,644.6,34.73333333,893.0357143
,,,,,,36.36666667,502.0357143,36.23333333,492.75,46.63333333,1257.75,34.73333333,822.0681818,35.26666667,104.6041667,36.26666667,359.24,35.2,278.6764706,,,35.5,634.4,35.56666667,935.9642857
,,,,,,37.16666667,473.9642857,37.06666667,484.25,49.1,1007.25,37.2,836.9318182,37.73333333,102.3958333,37.1,353.76,37.66666667,280.3235294,,,38,643.6,36.43333333,883.0357143
,,,,,,38,499.0357143,37.9,492.75,48.33333333,1269.75,36.36666667,823.0681818,36.9,103.6041667,37.93333333,383.24,36.83333333,273.6764706,,,37.16666667,635.4,37.23333333,931.9642857
,,,,,,38.83333333,469.9642857,38.73333333,482.25,49.16666667,1036.25,38.9,833.9318182,37.8,98.39583333,38.73333333,344.76,39.33333333,277.3235294,,,39.66666667,646.6,38.06666667,871.0357143
,,,,,,39.66666667,501.0357143,39.56666667,490.75,50,1255.75,38.06666667,829.0681818,38.53333333,101.6041667,39.56666667,354.24,38.5,272.6764706,,,38.83333333,627.4,38.93333333,933.9642857
,,,,,,40.5,466.9642857,40.4,479.25,50.83333333,1019.25,40.56666667,832.9318182,,,40.4,341.76,41,276.3235294,,,40.5,623.4,39.76666667,868.0357143
,,,,,,41.33333333,496.0357143,41.23333333,488.75,51.7,1256.75,39.7,822.0681818,,,39.8,224.24,40.16666667,271.6764706,,,,,40.6,920.9642857
,,,,,,42.16666667,462.9642857,42.06666667,477.25,52.53333333,1015.25,42.23333333,822.9318182,,,,,42.63333333,276.3235294,,,,,41.46666667,856.0357143
,,,,,,43,496.0357143,42.9,487.75,53.36666667,1255.75,41.4,824.0681818,,,,,41.83333333,270.6764706,,,,,42.3,928.9642857
,,,,,,43.83333333,461.9642857,43.7,471.25,,,43.9,809.9318182,,,,,44.3,272.3235294,,,,,43.1,844.0357143
,,,,,,44.66666667,493.0357143,44.56666667,487.75,,,43.06666667,815.0681818,,,,,43.46666667,268.6764706,,,,,43.93333333,924.9642857
,,,,,,45.46666667,455.9642857,45.36666667,467.25,,,45.56666667,801.9318182,,,,,45.96666667,272.3235294,,,,,44.8,848.0357143
,,,,,,44.96666667,167.0357143,46.23333333,486.75,,,44.73333333,815.0681818,,,,,45.13333333,267.6764706,,,,,45.63333333,919.9642857
,,,,,,,,47.03333333,466.25,,,47.23333333,793.9318182,,,,,47.63333333,271.3235294,,,,,,
,,,,,,,,47.86666667,481.75,,,46.4,811.0681818,,,,,46.8,266.6764706,,,,,,
,,,,,,,,48.7,465.25,,,48.9,786.9318182,,,,,49.26666667,270.3235294,,,,,,
,,,,,,,,49.43333333,435.75,,,48.06666667,811.0681818,,,,,48.46666667,267.6764706,,,,,,
,,,,,,,,,,,,50.56666667,781.9318182,,,,,50.93333333,269.3235294,,,,,,
,,,,,,,,,,,,49.76666667,825.0681818,,,,,50.1,264.6764706,,,,,,
,,,,,,,,,,,,52.23333333,774.9318182,,,,,52.6,269.3235294,,,,,,
,,,,,,,,,,,,51.43333333,808.0681818,,,,,51.76666667,262.6764706,,,,,,
,,,,,,,,,,,,53.9,766.9318182,,,,,54.26666667,268.3235294,,,,,,
,,,,,,,,,,,,53.06666667,801.0681818,,,,,53.43333333,261.6764706,,,,,,
,,,,,,,,,,,,55.56666667,757.9318182,,,,,54.66666667,16.32352941,,,,,,
,,,,,,,,,,,,54.76666667,804.0681818,,,,,55.06666667,258.6764706,,,,,,
,,,,,,,,,,,,57.23333333,754.9318182,,,,,,,,,,,,
,,,,,,,,,,,,56.43333333,800.0681818,,,,,,,,,,,,
,,,,,,,,,,,,58.93333333,752.9318182,,,,,,,,,,,,
,,,,,,,,,,,,58.1,800.0681818,,,,,,,,,,,,
,,,,,,,,,,,,60.6,744.9318182,,,,,,,,,,,,
,,,,,,,,,,,,59.76666667,800.0681818,,,,,,,,,,,,
,,,,,,,,,,,,62.26666667,731.9318182,,,,,,,,,,,,
,,,,,,,,,,,,61.43333333,798.0681818,,,,,,,,,,,,
,,,,,,,,,,,,63.93333333,731.9318182,,,,,,,,,,,,
,,,,,,,,,,,,63.13333333,800.0681818,,,,,,,,,,,,
,,,,,,,,,,,,65.63333333,715.9318182,,,,,,,,,,,,
,,,,,,,,,,,,64.8,798.0681818,,,,,,,,,,,,
,,,,,,,,,,,,67.26666667,712.9318182,,,,,,,,,,,,
,,,,,,,,,,,,66.43333333,798.0681818,,,,,,,,,,,,
,,,,,,,,,,,,68.93333333,705.9318182,,,,,,,,,,,,
,,,,,,,,,,,,68.1,798.0681818,,,,,,,,,,,,
,,,,,,,,,,,,70.6,699.9318182,,,,,,,,,,,,
,,,,,,,,,,,,69.8,798.0681818,,,,,,,,,,,,
,,,,,,,,,,,,72.06666667,486.9318182,,,,,,,,,,,,
,,,,,,,,,,,,71.46666667,799.0681818,,,,,,,,,,,,
